Blender 4.3.2
Read blend: "/root/sidereal_spacetime/output/playwright/planet-reference-20260914/crystal-moon-1-r010/kit.blend"
Fra:1 Mem:32.23M (Peak 32.23M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-planets--crystal-moon-1-connected-crystalline-body
Fra:1 Mem:32.76M (Peak 32.76M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-2-panel-7-section-4-band-2
Fra:1 Mem:32.76M (Peak 32.76M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-2-panel-7-section-5-band-1
Fra:1 Mem:32.76M (Peak 32.76M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-2-panel-7-section-5-band-2
Fra:1 Mem:32.76M (Peak 32.76M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-2-panel-7-section-6-band-1
Fra:1 Mem:32.76M (Peak 32.76M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-2-panel-7-section-6-band-2
Fra:1 Mem:32.77M (Peak 32.77M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-2-panel-7-section-7-band-2
Fra:1 Mem:32.77M (Peak 32.77M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-2-panel-8-section-7-band-0
Fra:1 Mem:32.77M (Peak 32.77M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-2-panel-8-section-7-band-1
Fra:1 Mem:32.77M (Peak 32.77M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-2-panel-8-section-7-band-2
Fra:1 Mem:32.77M (Peak 32.77M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-2-panel-8-section-8-band-0
Fra:1 Mem:32.78M (Peak 32.78M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-2-panel-8-section-8-band-1
Fra:1 Mem:32.78M (Peak 32.78M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-2-panel-8-section-8-band-2
Fra:1 Mem:32.78M (Peak 32.78M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-2-panel-8-section-9-band-0
Fra:1 Mem:32.78M (Peak 32.78M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-2-panel-8-section-9-band-1
Fra:1 Mem:32.79M (Peak 32.79M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-2-panel-8-section-9-band-2
Fra:1 Mem:32.79M (Peak 32.79M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-2-panel-8-section-10-band-0
Fra:1 Mem:32.79M (Peak 32.79M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-2-panel-8-section-10-band-1
Fra:1 Mem:32.79M (Peak 32.79M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-2-panel-8-section-10-band-2
Fra:1 Mem:32.80M (Peak 32.80M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-10-section-13-band-1
Fra:1 Mem:32.80M (Peak 32.80M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-10-section-13-band-2
Fra:1 Mem:32.80M (Peak 32.80M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-10-section-1-band-0
Fra:1 Mem:32.80M (Peak 32.80M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-10-section-1-band-1
Fra:1 Mem:32.80M (Peak 32.80M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-10-section-1-band-2
Fra:1 Mem:32.80M (Peak 32.80M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-11-section-1-band-0
Fra:1 Mem:32.81M (Peak 32.81M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-11-section-2-band-0
Fra:1 Mem:32.81M (Peak 32.81M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-11-section-2-band-1
Fra:1 Mem:32.81M (Peak 32.81M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-11-section-2-band-2
Fra:1 Mem:32.81M (Peak 32.81M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-2-panel-12-section-9-band-0
Fra:1 Mem:32.82M (Peak 32.82M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-2-panel-12-section-10-band-0
Fra:1 Mem:32.82M (Peak 32.82M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-2-panel-12-section-11-band-0
Fra:1 Mem:32.82M (Peak 32.82M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-2-panel-12-section-14-band-0
Fra:1 Mem:32.82M (Peak 32.82M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-2-panel-13-section-10-band-0
Fra:1 Mem:32.83M (Peak 32.83M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-2-panel-13-section-11-band-0
Fra:1 Mem:32.83M (Peak 32.83M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-2-panel-13-section-11-band-1
Fra:1 Mem:32.83M (Peak 32.83M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-2-panel-13-section-14-band-0
Fra:1 Mem:32.83M (Peak 32.83M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-2-panel-13-section-14-band-1
Fra:1 Mem:32.83M (Peak 32.83M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-22-section-14-band-2
Fra:1 Mem:32.84M (Peak 32.84M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-22-section-15-band-0
Fra:1 Mem:32.84M (Peak 32.84M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-22-section-15-band-1
Fra:1 Mem:32.84M (Peak 32.84M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-22-section-15-band-2
Fra:1 Mem:32.84M (Peak 32.84M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-22-section-16-band-0
Fra:1 Mem:32.84M (Peak 32.84M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-23-section-2-band-2
Fra:1 Mem:32.85M (Peak 32.85M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-23-section-3-band-1
Fra:1 Mem:32.85M (Peak 32.85M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-23-section-3-band-2
Fra:1 Mem:32.85M (Peak 32.85M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-23-section-4-band-2
Fra:1 Mem:32.85M (Peak 32.85M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-23-section-5-band-1
Fra:1 Mem:32.85M (Peak 32.85M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-23-section-5-band-2
Fra:1 Mem:32.86M (Peak 32.86M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-23-section-6-band-1
Fra:1 Mem:32.86M (Peak 32.86M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-23-section-6-band-2
Fra:1 Mem:32.86M (Peak 32.86M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-24-section-10-band-0
Fra:1 Mem:32.87M (Peak 32.87M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-24-section-10-band-1
Fra:1 Mem:32.87M (Peak 32.87M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-24-section-10-band-2
Fra:1 Mem:32.87M (Peak 32.87M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-24-section-11-band-0
Fra:1 Mem:32.87M (Peak 32.87M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-24-section-11-band-1
Fra:1 Mem:32.87M (Peak 32.87M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-85-section-11-band-2
Fra:1 Mem:32.87M (Peak 32.87M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-24-section-11-band-2
Fra:1 Mem:32.88M (Peak 32.88M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-24-section-14-band-0
Fra:1 Mem:32.88M (Peak 32.88M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-85-section-11-band-1
Fra:1 Mem:32.88M (Peak 32.88M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-24-section-14-band-1
Fra:1 Mem:32.88M (Peak 32.88M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-85-section-10-band-1
Fra:1 Mem:32.88M (Peak 32.88M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-24-section-15-band-0
Fra:1 Mem:32.88M (Peak 32.88M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-85-section-10-band-0
Fra:1 Mem:32.88M (Peak 32.88M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-25-section-10-band-2
Fra:1 Mem:32.89M (Peak 32.89M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-84-section-10-band-2
Fra:1 Mem:32.89M (Peak 32.89M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-25-section-11-band-2
Fra:1 Mem:32.89M (Peak 32.89M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-84-section-10-band-1
Fra:1 Mem:32.89M (Peak 32.89M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-25-section-14-band-2
Fra:1 Mem:32.89M (Peak 32.89M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-84-section-10-band-0
Fra:1 Mem:32.89M (Peak 32.89M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-25-section-15-band-2
Fra:1 Mem:32.89M (Peak 32.89M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-83-section-11-band-0
Fra:1 Mem:32.89M (Peak 32.89M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-26-section-6-band-0
Fra:1 Mem:32.90M (Peak 32.90M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-83-section-10-band-0
Fra:1 Mem:32.91M (Peak 32.91M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-26-section-6-band-1
Fra:1 Mem:32.90M (Peak 32.91M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-81-section-16-band-2
Fra:1 Mem:32.90M (Peak 32.91M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-26-section-6-band-2
Fra:1 Mem:32.90M (Peak 32.91M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-81-section-15-band-2
Fra:1 Mem:32.91M (Peak 32.91M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-26-section-7-band-1
Fra:1 Mem:32.91M (Peak 32.91M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-81-section-15-band-1
Fra:1 Mem:32.91M (Peak 32.91M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-26-section-7-band-2
Fra:1 Mem:32.91M (Peak 32.91M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-81-section-14-band-2
Fra:1 Mem:32.93M (Peak 32.93M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-26-section-8-band-1
Fra:1 Mem:32.92M (Peak 32.93M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-81-section-14-band-1
Fra:1 Mem:32.92M (Peak 32.93M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-26-section-8-band-2
Fra:1 Mem:32.92M (Peak 32.93M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-81-section-14-band-0
Fra:1 Mem:32.92M (Peak 32.93M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-26-section-9-band-2
Fra:1 Mem:32.92M (Peak 32.93M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-81-section-11-band-2
Fra:1 Mem:32.92M (Peak 32.93M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-26-section-10-band-1
Fra:1 Mem:32.93M (Peak 32.93M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-81-section-11-band-1
Fra:1 Mem:32.93M (Peak 32.93M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-26-section-10-band-2
Fra:1 Mem:32.93M (Peak 32.93M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-81-section-11-band-0
Fra:1 Mem:32.93M (Peak 32.93M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-27-section-2-band-0
Fra:1 Mem:32.93M (Peak 32.93M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-80-section-8-band-2
Fra:1 Mem:32.93M (Peak 32.93M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-27-section-2-band-1
Fra:1 Mem:32.93M (Peak 32.93M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-80-section-7-band-2
Fra:1 Mem:32.93M (Peak 32.93M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-27-section-3-band-0
Fra:1 Mem:32.94M (Peak 32.94M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-80-section-6-band-2
Fra:1 Mem:32.94M (Peak 32.94M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-27-section-3-band-1
Fra:1 Mem:32.94M (Peak 32.94M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-80-section-6-band-1
Fra:1 Mem:32.94M (Peak 32.94M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-27-section-4-band-1
Fra:1 Mem:32.94M (Peak 32.94M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-80-section-5-band-2
Fra:1 Mem:32.94M (Peak 32.94M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-27-section-4-band-2
Fra:1 Mem:32.95M (Peak 32.95M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-80-section-5-band-1
Fra:1 Mem:32.95M (Peak 32.95M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-27-section-5-band-1
Fra:1 Mem:32.95M (Peak 32.95M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-79-section-8-band-2
Fra:1 Mem:32.95M (Peak 32.95M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-27-section-6-band-0
Fra:1 Mem:32.95M (Peak 32.95M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-79-section-8-band-1
Fra:1 Mem:32.95M (Peak 32.95M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-0-panel-27-section-6-band-1
Fra:1 Mem:32.95M (Peak 32.95M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-79-section-8-band-0
Fra:1 Mem:32.96M (Peak 32.96M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-2-panel-29-section-1-band-0
Fra:1 Mem:32.96M (Peak 32.96M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GEO-native-regional-fracture-1-panel-79-section-7-band-2
